OrderID,OrderDate,ShipDate,CustomerID,CustomerName,Segment,Gender,AgeGroup,LoyaltyLevel,Country,State,City,Region,ProductID,ProductName,Category,SubCategory,Brand,Quantity,UnitPrice,Discount,Revenue,Cost,Profit,ProfitMargin,PaymentMethod,ShippingMode,DeliveryDays,OrderPriority,ReturnStatus,CustomerRating,DiscountLevel,Year,Month,Quarter
ORD00001,2024-01-21,2024-01-28,CUST7265,Customer_467,Home Office,Female,26-35,Silver,USA,California,Miami,East,PROD314,Laptop,Electronics,Laptop,FreshLine,7,957.89,0.06,6302.92,4556.33,1746.59,27.71,Credit Card,Same Day,7,Critical,Returned,3.0,Low Discount,2024,1,1
ORD00002,2024-11-04,2024-11-06,CUST7949,Customer_386,Consumer,Male,60+,Silver,USA,Illinois,Miami,Central,PROD291,Monitor,Electronics,Monitor,ValuePlus,8,407.11,0.04,3126.6,2119.24,1007.36,32.22,Debit Card,Express,2,High,Not Returned,4.0,Low Discount,2024,11,4
ORD00003,2025-07-14,2025-07-17,CUST2899,Customer_1591,Home Office,Female,36-45,Gold,USA,California,Austin,South,PROD343,Monitor,Electronics,Monitor,NovaTech,5,744.8,0.18,3053.68,1381.71,1671.97,54.75,Credit Card,Express,3,Low,Not Returned,1.0,Medium Discount,2025,7,3
ORD00004,2024-09-30,2024-10-04,CUST9792,Customer_316,Corporate,Male,46-60,Bronze,USA,Florida,Dallas,Central,PROD113,Hoodie,Clothing,Hoodie,PrimeGoods,3,1033.33,0.2,2479.99,1507.03,972.96,39.23,UPI,Express,4,Medium,Not Returned,2.0,Medium Discount,2024,9,3
ORD00005,2025-03-30,2025-04-07,CUST9226,Customer_206,Corporate,Male,26-35,Bronze,USA,Florida,Seattle,North,PROD180,Monitor,Electronics,Monitor,PrimeGoods,9,29.0,0.07,242.73,129.7,113.03,46.57,Debit Card,Express,8,High,Not Returned,4.0,Low Discount,2025,3,1
ORD00006,2024-04-15,2024-04-19,CUST8989,Customer_1501,Home Office,Male,60+,Silver,USA,California,Chicago,North,PROD802,T-Shirt,Clothing,T-Shirt,PrimeGoods,2,798.4,0.09,1453.09,918.39,534.7,36.8,UPI,Standard,4,High,Not Returned,2.0,Low Discount,2024,4,2
ORD00007,2024-09-27,2024-10-05,CUST8629,Customer_1751,Consumer,Female,46-60,Gold,USA,Texas,Austin,Central,PROD351,Monitor,Electronics,Monitor,PrimeGoods,2,480.23,0.28,691.53,487.21,204.32,29.55,Debit Card,Same Day,8,Critical,Not Returned,1.0,High Discount,2024,9,3
ORD00008,2024-08-04,2024-08-13,CUST6276,Customer_15,Corporate,Male,26-35,Gold,USA,Illinois,New York,North,PROD912,Cooking Oil,Grocery,Cooking Oil,FreshLine,8,1015.0,0.22,6333.6,4046.49,2287.11,36.11,Cash,Express,9,Medium,Not Returned,1.0,High Discount,2024,8,3
ORD00009,2025-04-16,2025-04-19,CUST7736,Customer_392,Corporate,Male,18-25,Bronze,USA,California,Miami,West,PROD774,Table,Furniture,Table,ValuePlus,9,1184.4,0.23,8207.89,4264.41,3943.48,48.04,UPI,Standard,3,Critical,Not Returned,3.0,High Discount,2025,4,2
ORD00010,2024-01-28,2024-02-04,CUST9392,Customer_1864,Corporate,Male,18-25,Gold,USA,Illinois,Seattle,East,PROD879,Cereal,Grocery,Cereal,PrimeGoods,1,731.09,0.28,526.38,356.82,169.56,32.21,Cash,Standard,7,Critical,Returned,2.0,High Discount,2024,1,1
